Gene	Num_sgRNAs	RRA_Score_Neg	PValue_Neg	FDR_Neg	Rank_Neg	neg|goodsgrna	LFC_Neg	RRA_Score_Pos	PValue_Pos	FDR_Pos	Rank_Pos	pos|goodsgrna	LFC_Pos	FDR	Direction	logFC	RRA_Score	Significance
NRP2	12	2.5511e-08	4.9494e-06	0.000492	1	12	-1.1859	1.0	1.0	0.999995	894	0	-1.1859	0.000492	depleted	-1.1859	2.5511e-08	significant
ANGPT2	12	2.8871e-08	4.9494e-06	0.000492	2	12	-1.0809	1.0	1.0	0.999995	893	0	-1.0809	0.000492	depleted	-1.0809	2.8871e-08	significant
ANGPT1	12	4.3709e-08	4.9494e-06	0.000492	3	12	-1.0245	1.0	1.0	0.999995	892	0	-1.0245	0.000492	depleted	-1.0245	4.3709e-08	significant
TIE1	12	2.8717e-07	4.9494e-06	0.000492	4	12	-1.2963	1.0	1.0	0.999995	891	0	-1.2963	0.000492	depleted	-1.2963	2.8717e-07	significant
FLT4	12	3.3503e-07	4.9494e-06	0.000492	5	12	-1.3726	1.0	1.0	0.999995	888	0	-1.3726	0.000492	depleted	-1.3726	3.3503e-07	significant
EGLN1	6	5.2536e-07	4.9494e-06	0.000492	6	6	-1.9137	1.0	1.0	0.999995	890	0	-1.9137	0.000492	depleted	-1.9137	5.2536e-07	significant
GDF2	6	8.1886e-07	4.9494e-06	0.000492	7	6	-1.8537	1.0	1.0	0.999995	889	0	-1.8537	0.000492	depleted	-1.8537	8.1886e-07	significant
BMP4	6	1.0257e-06	4.9494e-06	0.000492	8	6	-1.8814	1.0	1.0	0.999995	885	0	-1.8814	0.000492	depleted	-1.8814	1.0257e-06	significant
NCOA2	6	1.2387e-06	4.9494e-06	0.000492	9	6	-1.9	0.99999	1.0	0.999995	876	0	-1.9	0.000492	depleted	-1.9	1.2387e-06	significant
EP300	6	1.3667e-06	1.4848e-05	0.000664	10	6	-1.7999	1.0	1.0	0.999995	887	0	-1.7999	0.000664	depleted	-1.7999	1.3667e-06	significant
VHL	6	1.9557e-06	1.4848e-05	0.000664	11	6	-2.0682	0.99999	1.0	0.999995	877	0	-2.0682	0.000664	depleted	-2.0682	1.9557e-06	significant
PHD2	6	2.6227e-06	1.4848e-05	0.000664	12	6	-1.9008	0.99997	0.99999	0.999995	853	0	-1.9008	0.000664	depleted	-1.9008	2.6227e-06	significant
SMAD2	6	2.7138e-06	1.4848e-05	0.000664	13	6	-1.6666	1.0	1.0	0.999995	886	0	-1.6666	0.000664	depleted	-1.6666	2.7138e-06	significant
BMP9	6	3.564e-06	1.4848e-05	0.000664	14	6	-1.7391	0.99999	1.0	0.999995	878	0	-1.7391	0.000664	depleted	-1.7391	3.564e-06	significant
HIF1A	6	3.6901e-06	1.4848e-05	0.000664	15	6	-1.5658	1.0	1.0	0.999995	884	0	-1.5658	0.000664	depleted	-1.5658	3.6901e-06	significant
SMAD3	6	4.5641e-06	1.4848e-05	0.000664	16	6	-1.6763	1.0	1.0	0.999995	883	0	-1.6763	0.000664	depleted	-1.6763	4.5641e-06	significant
TGFBR2	6	4.7127e-06	1.4848e-05	0.000664	17	6	-1.3648	1.0	1.0	0.999995	882	0	-1.3648	0.000664	depleted	-1.3648	4.7127e-06	significant
SMAD4	6	4.7885e-06	1.4848e-05	0.000664	18	6	-1.8091	1.0	1.0	0.999995	881	0	-1.8091	0.000664	depleted	-1.8091	4.7885e-06	significant
SMAD1	6	4.9432e-06	1.4848e-05	0.000664	19	6	-1.6602	1.0	1.0	0.999995	880	0	-1.6602	0.000664	depleted	-1.6602	4.9432e-06	significant
ARNT	6	5.0221e-06	1.4848e-05	0.000664	20	6	-1.7714	0.99999	1.0	0.999995	879	0	-1.7714	0.000664	depleted	-1.7714	5.0221e-06	significant
ACVRL1	6	7.2556e-06	2.4747e-05	0.001006	21	6	-1.7639	0.99999	1.0	0.999995	875	0	-1.7639	0.001006	depleted	-1.7639	7.2556e-06	significant
BMP6	6	7.698e-06	2.4747e-05	0.001006	22	6	-1.4742	0.99999	1.0	0.999995	874	0	-1.4742	0.001006	depleted	-1.4742	7.698e-06	significant
LYVE1	6	9.1623e-06	4.4545e-05	0.001532	23	6	-1.1754	0.99999	1.0	0.999995	873	0	-1.1754	0.001532	depleted	-1.1754	9.1623e-06	significant
SMAD5	6	1.0119e-05	4.4545e-05	0.001532	24	6	-1.8657	0.99999	1.0	0.999995	872	0	-1.8657	0.001532	depleted	-1.8657	1.0119e-05	significant
CD93	6	1.1469e-05	4.4545e-05	0.001532	25	6	-1.3646	0.99999	1.0	0.999995	871	0	-1.3646	0.001532	depleted	-1.3646	1.1469e-05	significant
ACKR3	6	1.1789e-05	4.4545e-05	0.001532	26	6	-1.4788	0.99999	1.0	0.999995	870	0	-1.4788	0.001532	depleted	-1.4788	1.1789e-05	significant
ANG4	6	1.5214e-05	5.4444e-05	0.001622	27	6	-1.2457	0.99998	1.0	0.999995	869	0	-1.2457	0.001622	depleted	-1.2457	1.5214e-05	significant
CALCRL	6	1.5619e-05	5.4444e-05	0.001622	28	6	-1.1082	0.99998	1.0	0.999995	868	0	-1.1082	0.001622	depleted	-1.1082	1.5619e-05	significant
RPL5	6	1.5778e-05	5.4444e-05	0.001622	29	6	-1.589	0.99998	1.0	0.999995	865	0	-1.589	0.001622	depleted	-1.589	1.5778e-05	significant
GJA4	6	1.5824e-05	5.4444e-05	0.001622	30	6	-1.0642	0.99998	1.0	0.999995	867	0	-1.0642	0.001622	depleted	-1.0642	1.5824e-05	significant
PODXL	6	1.6669e-05	6.4342e-05	0.001856	31	6	-1.4661	0.99998	1.0	0.999995	866	0	-1.4661	0.001856	depleted	-1.4661	1.6669e-05	significant
BMP2	6	1.9188e-05	7.4241e-05	0.002011	32	6	-1.2048	0.99998	1.0	0.999995	864	0	-1.2048	0.002011	depleted	-1.2048	1.9188e-05	significant
DLL1	6	2.0691e-05	7.4241e-05	0.002011	33	6	-1.2854	0.99998	1.0	0.999995	863	0	-1.2854	0.002011	depleted	-1.2854	2.0691e-05	significant
PKM	6	2.1478e-05	8.414e-05	0.002161	34	6	-1.3255	0.99998	1.0	0.999995	862	0	-1.3255	0.002161	depleted	-1.3255	2.1478e-05	significant
RPL3	6	2.5184e-05	9.4039e-05	0.002161	35	6	-1.1002	0.99997	0.99999	0.999995	861	0	-1.1002	0.002161	depleted	-1.1002	2.5184e-05	significant
SMAD9	6	2.5799e-05	9.4039e-05	0.002161	36	6	-1.3575	0.99997	0.99999	0.999995	860	0	-1.3575	0.002161	depleted	-1.3575	2.5799e-05	significant
PSMB1	6	2.8723e-05	9.4039e-05	0.002161	37	6	-1.0075	0.99997	0.99999	0.999995	859	0	-1.0075	0.002161	depleted	-1.0075	2.8723e-05	significant
CREBBP	6	2.8948e-05	0.00010394	0.002161	38	6	-1.5476	0.99988	0.99989	0.999995	814	0	-1.5476	0.002161	depleted	-1.5476	2.8948e-05	significant
RAMP2	6	3.1183e-05	0.00010394	0.002161	39	6	-1.1856	0.99997	0.99999	0.999995	858	0	-1.1856	0.002161	depleted	-1.1856	3.1183e-05	significant
UBA1	6	3.1549e-05	0.00010394	0.002161	40	6	-1.0435	0.99997	0.99999	0.999995	857	0	-1.0435	0.002161	depleted	-1.0435	3.1549e-05	significant
STAB2	6	3.1918e-05	0.00010394	0.002161	41	6	-1.4762	0.99997	0.99999	0.999995	856	0	-1.4762	0.002161	depleted	-1.4762	3.1918e-05	significant
HIF1AN	6	3.3046e-05	0.00010394	0.002161	42	6	-1.5721	0.99997	0.99999	0.999995	855	0	-1.5721	0.002161	depleted	-1.5721	3.3046e-05	significant
ENO1	6	3.343e-05	0.00010394	0.002161	43	6	-1.2219	0.99997	0.99999	0.999995	854	0	-1.2219	0.002161	depleted	-1.2219	3.343e-05	significant
FCN3	6	3.5001e-05	0.00011384	0.002262	44	6	-1.4713	0.99996	0.99999	0.999995	852	0	-1.4713	0.002262	depleted	-1.4713	3.5001e-05	significant
EFNB2	6	3.5404e-05	0.00011384	0.002262	45	6	-1.2708	0.99996	0.99999	0.999995	851	0	-1.2708	0.002262	depleted	-1.2708	3.5404e-05	significant
