Gene	Num_sgRNAs	RRA_Score_Neg	PValue_Neg	FDR_Neg	Rank_Neg	neg|goodsgrna	LFC_Neg	RRA_Score_Pos	PValue_Pos	FDR_Pos	Rank_Pos	pos|goodsgrna	LFC_Pos	FDR	Direction	logFC	RRA_Score	Significance
CNN1	6	1.9536e-08	4.9164e-06	0.000553	1	6	-1.8337	1.0	1.0	0.999995	900	0	-1.8337	0.000553	depleted	-1.8337	1.9536e-08	significant
MMP2	6	4.6486e-08	4.9164e-06	0.000553	2	6	-1.8613	1.0	1.0	0.999995	895	0	-1.8613	0.000553	depleted	-1.8613	4.6486e-08	significant
FN1	6	2.7956e-07	4.9164e-06	0.000553	3	6	-1.8326	1.0	1.0	0.999995	899	0	-1.8326	0.000553	depleted	-1.8326	2.7956e-07	significant
COL3A1	6	3.0171e-07	4.9164e-06	0.000553	4	6	-1.7107	1.0	1.0	0.999995	898	0	-1.7107	0.000553	depleted	-1.7107	3.0171e-07	significant
TAGLN	6	5.0162e-07	4.9164e-06	0.000553	5	6	-1.6525	1.0	1.0	0.999995	897	0	-1.6525	0.000553	depleted	-1.6525	5.0162e-07	significant
MYH11	6	5.5003e-07	4.9164e-06	0.000553	6	6	-1.5062	1.0	1.0	0.999995	896	0	-1.5062	0.000553	depleted	-1.5062	5.5003e-07	significant
VIM	6	6.7333e-07	4.9164e-06	0.000553	7	6	-1.6646	1.0	1.0	0.999995	894	0	-1.6646	0.000553	depleted	-1.6646	6.7333e-07	significant
PLAU	6	7.0365e-07	4.9164e-06	0.000553	8	6	-1.657	1.0	1.0	0.999995	893	0	-1.657	0.000553	depleted	-1.657	7.0365e-07	significant
SMAD3	6	1.755e-06	1.4749e-05	0.00083	9	6	-1.8011	1.0	1.0	0.999995	892	0	-1.8011	0.00083	depleted	-1.8011	1.755e-06	significant
COL1A1	6	2.7138e-06	1.4749e-05	0.00083	10	6	-1.3206	1.0	1.0	0.999995	891	0	-1.3206	0.00083	depleted	-1.3206	2.7138e-06	significant
CTGF	6	2.8813e-06	1.4749e-05	0.00083	11	6	-1.6432	0.99998	1.0	0.999995	869	0	-1.6432	0.00083	depleted	-1.6432	2.8813e-06	significant
UBA1	6	3.3935e-06	1.4749e-05	0.00083	12	6	-1.365	1.0	1.0	0.999995	890	0	-1.365	0.00083	depleted	-1.365	3.3935e-06	significant
SERPINE1	6	3.8934e-06	1.4749e-05	0.00083	13	6	-1.634	0.99999	1.0	0.999995	885	0	-1.634	0.00083	depleted	-1.634	3.8934e-06	significant
MMP14	6	4.0084e-06	1.4749e-05	0.00083	14	6	-1.53	0.99996	0.99999	0.999995	852	0	-1.53	0.00083	depleted	-1.53	4.0084e-06	significant
TPM1	6	4.5641e-06	1.4749e-05	0.00083	15	6	-1.4643	1.0	1.0	0.999995	889	0	-1.4643	0.00083	depleted	-1.4643	4.5641e-06	significant
ACTA2	6	5.0221e-06	1.4749e-05	0.00083	16	6	-1.5596	0.99999	1.0	0.999995	888	0	-1.5596	0.00083	depleted	-1.5596	5.0221e-06	significant
TPM2	6	5.7652e-06	2.4582e-05	0.001164	17	6	-1.5261	0.99998	1.0	0.999995	874	0	-1.5261	0.001164	depleted	-1.5261	5.7652e-06	significant
COL4A2	6	6.9379e-06	2.4582e-05	0.001164	18	6	-1.5396	0.99999	1.0	0.999995	887	0	-1.5396	0.001164	depleted	-1.5396	6.9379e-06	significant
PSMC1	6	7.0425e-06	2.4582e-05	0.001164	19	6	-1.2964	0.99999	1.0	0.999995	886	0	-1.2964	0.001164	depleted	-1.2964	7.0425e-06	significant
FGF1	6	8.1626e-06	3.4415e-05	0.001475	20	6	-1.362	0.99999	1.0	0.999995	884	0	-1.362	0.001475	depleted	-1.362	8.1626e-06	significant
TNC	6	9.032e-06	3.4415e-05	0.001475	21	6	-1.29	0.99999	1.0	0.999995	883	0	-1.29	0.001475	depleted	-1.29	9.032e-06	significant
HSPA8	6	9.2941e-06	4.4248e-05	0.001659	22	6	-1.4908	0.99999	1.0	0.999995	882	0	-1.4908	0.001659	depleted	-1.4908	9.2941e-06	significant
RPL3	6	9.5625e-06	4.4248e-05	0.001659	23	6	-1.2047	0.99999	1.0	0.999995	881	0	-1.2047	0.001659	depleted	-1.2047	9.5625e-06	significant
TGFB1	6	1.0262e-05	4.4248e-05	0.001659	24	6	-1.4702	0.99999	1.0	0.999995	880	0	-1.4702	0.001659	depleted	-1.4702	1.0262e-05	significant
COL5A2	6	1.2451e-05	5.4081e-05	0.001678	25	6	-1.3948	0.99999	1.0	0.999995	879	0	-1.3948	0.001678	depleted	-1.3948	1.2451e-05	significant
PDGFRA	6	1.3321e-05	5.4081e-05	0.001678	26	6	-1.2442	0.99999	1.0	0.999995	878	0	-1.2442	0.001678	depleted	-1.2442	1.3321e-05	significant
TGFBR1	6	1.3867e-05	5.4081e-05	0.001678	27	6	-1.5392	0.99999	1.0	0.999995	877	0	-1.5392	0.001678	depleted	-1.5392	1.3867e-05	significant
RPS4	6	1.4053e-05	5.4081e-05	0.001678	28	6	-1.2502	0.99999	1.0	0.999995	876	0	-1.2502	0.001678	depleted	-1.2502	1.4053e-05	significant
HSP90AA1	6	1.4819e-05	5.4081e-05	0.001678	29	6	-1.1569	0.99999	1.0	0.999995	875	0	-1.1569	0.001678	depleted	-1.1569	1.4819e-05	significant
TGFB2	6	1.7105e-05	6.3913e-05	0.001798	30	6	-1.415	0.99998	1.0	0.999995	873	0	-1.415	0.001798	depleted	-1.415	1.7105e-05	significant
PRELP	6	1.8238e-05	6.3913e-05	0.001798	31	6	-1.1886	0.99998	1.0	0.999995	872	0	-1.1886	0.001798	depleted	-1.1886	1.8238e-05	significant
