id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FZD1	6	1.6995e-11	4.9219e-06	0.000201	1	6	-2.0407	1.0	1.0	0.999995	899	0	-2.0407
ADAM10	6	8.6929e-09	4.9219e-06	0.000201	2	6	-1.8499	1.0	1.0	0.999995	898	0	-1.8499
FZD7	6	5.438e-08	4.9219e-06	0.000201	3	6	-1.9823	1.0	1.0	0.999995	897	0	-1.9823
PSEN1	6	9.9773e-08	4.9219e-06	0.000201	4	6	-1.7924	1.0	1.0	0.999995	896	0	-1.7924
HEY1	6	1.3036e-07	4.9219e-06	0.000201	5	6	-1.6232	1.0	1.0	0.999995	895	0	-1.6232
APC	6	1.3812e-07	4.9219e-06	0.000201	6	6	-1.8098	1.0	1.0	0.999995	894	0	-1.8098
NOTCH3	6	1.8295e-07	4.9219e-06	0.000201	7	6	-1.7154	1.0	1.0	0.999995	893	0	-1.7154
RBPJ	6	1.9323e-07	4.9219e-06	0.000201	8	6	-1.7215	1.0	1.0	0.999995	892	0	-1.7215
TGFBR1	6	3.5043e-07	4.9219e-06	0.000201	9	6	-1.7123	1.0	1.0	0.999995	891	0	-1.7123
TCF7	6	3.8852e-07	4.9219e-06	0.000201	10	6	-1.7221	1.0	1.0	0.999995	890	0	-1.7221
SMAD2	6	5.5003e-07	4.9219e-06	0.000201	11	6	-1.7638	1.0	1.0	0.999995	889	0	-1.7638
DVL2	6	6.0674e-07	4.9219e-06	0.000201	12	6	-1.7618	1.0	1.0	0.999995	885	0	-1.7618
BMPR2	6	6.4412e-07	4.9219e-06	0.000201	13	6	-1.7478	1.0	1.0	0.999995	888	0	-1.7478
SMAD3	6	7.1923e-07	4.9219e-06	0.000201	14	6	-1.7186	1.0	1.0	0.999995	887	0	-1.7186
GSK3B	6	7.3509e-07	4.9219e-06	0.000201	15	6	-1.6916	1.0	1.0	0.999995	886	0	-1.6916
DLL1	6	8.1886e-07	4.9219e-06	0.000201	16	6	-1.6869	1.0	1.0	0.999995	884	0	-1.6869
SMAD4	6	9.6936e-07	4.9219e-06	0.000201	17	6	-1.7253	1.0	1.0	0.999995	883	0	-1.7253
TGFBR2	6	9.897e-07	4.9219e-06	0.000201	18	6	-1.6445	1.0	1.0	0.999995	882	0	-1.6445
NOTCH2	6	1.2134e-06	4.9219e-06	0.000201	19	6	-1.61	1.0	1.0	0.999995	881	0	-1.61
PSMA1	6	1.5657e-06	4.9219e-06	0.000201	20	6	-1.4516	1.0	1.0	0.999995	880	0	-1.4516
CTNNB1	6	1.5919e-06	4.9219e-06	0.000201	21	6	-1.8063	1.0	1.0	0.999995	878	0	-1.8063
JAG1	6	1.8909e-06	4.9219e-06	0.000201	22	6	-1.681	1.0	1.0	0.999995	879	0	-1.681
DVL1	6	3.8783e-06	1.4766e-05	0.000531	23	6	-1.7045	1.0	1.0	0.999995	877	0	-1.7045
AXIN1	6	3.9427e-06	1.4766e-05	0.000531	24	6	-1.7058	1.0	1.0	0.999995	876	0	-1.7058
LOR	6	5.4324e-06	1.4766e-05	0.000531	25	6	-1.4705	0.99999	1.0	0.999995	875	0	-1.4705
BMPR1A	6	7.812e-06	2.4609e-05	0.000819	26	6	-1.6045	0.99999	1.0	0.999995	874	0	-1.6045
ACVR1	6	9.1623e-06	2.4609e-05	0.000819	27	6	-1.5695	0.99999	1.0	0.999995	873	0	-1.5695
LEF1	6	1.0315e-05	3.4453e-05	0.001106	28	6	-1.8449	0.99997	0.99996	0.999995	857	0	-1.8449
ACTG1	6	1.1003e-05	4.4297e-05	0.001327	29	6	-1.3393	0.99999	0.99999	0.999995	872	0	-1.3393
KRT17	6	1.1789e-05	4.4297e-05	0.001327	30	6	-1.5455	0.99999	0.99999	0.999995	871	0	-1.5455
IRF6	6	1.2967e-05	5.4141e-05	0.001521	31	6	-1.3863	0.99999	0.99999	0.999995	870	0	-1.3863
KRT1	6	1.4053e-05	5.4141e-05	0.001521	32	6	-1.3093	0.99999	0.99999	0.999995	869	0	-1.3093
HES1	6	1.5619e-05	6.3985e-05	0.001692	33	6	-1.7744	0.99998	0.99999	0.999995	868	0	-1.7744
WNT5A	6	1.6886e-05	6.3985e-05	0.001692	34	6	-1.7897	0.99998	0.99999	0.999995	867	0	-1.7897
RPL3	6	1.8238e-05	7.3828e-05	0.001794	35	6	-1.4542	0.99998	0.99999	0.999995	866	0	-1.4542
PSMA2	6	1.8708e-05	7.3828e-05	0.001794	36	6	-1.2975	0.99998	0.99999	0.999995	865	0	-1.2975
KLK11	6	1.9678e-05	7.3828e-05	0.001794	37	6	-1.3813	0.99998	0.99999	0.999995	864	0	-1.3813
DSC3	6	2.0179e-05	8.3672e-05	0.001835	38	6	-1.3923	0.99998	0.99999	0.999995	863	0	-1.3923
KRT6	6	2.0691e-05	8.3672e-05	0.001835	39	6	-1.3947	0.99998	0.99999	0.999995	862	0	-1.3947
RPS3	6	2.095e-05	8.3672e-05	0.001835	40	6	-1.3664	0.99998	0.99999	0.999995	861	0	-1.3664
MAML1	6	2.1213e-05	8.3672e-05	0.001835	41	6	-1.6795	0.99998	0.99999	0.999995	860	0	-1.6795
CLDN1	6	2.3991e-05	0.0001132	0.002423	42	6	-1.3123	0.99998	0.99998	0.999995	859	0	-1.3123
KLK9	6	2.7391e-05	0.00012305	0.002573	43	6	-1.3342	0.99997	0.99998	0.999995	858	0	-1.3342
CDSN	6	3.229e-05	0.00015258	0.003032	44	6	-1.2573	0.99997	0.99996	0.999995	856	0	-1.2573
RPL4	6	3.5001e-05	0.00016242	0.003032	45	6	-1.3543	0.99996	0.99996	0.999995	855	0	-1.3543
TGM3	6	3.5404e-05	0.00016242	0.003032	46	6	-1.3648	0.99996	0.99996	0.999995	854	0	-1.3648
KRT3	6	3.7052e-05	0.00016242	0.003032	47	6	-1.3351	0.99996	0.99996	0.999995	853	0	-1.3351
KLK6	6	3.7474e-05	0.00016242	0.003032	48	6	-1.2503	0.99996	0.99996	0.999995	852	0	-1.2503
GAPDH	6	3.7899e-05	0.00017227	0.003032	49	6	-1.3817	0.99996	0.99996	0.999995	851	0	-1.3817
KRT12	6	3.9643e-05	0.00017227	0.003032	50	6	-1.219	0.99996	0.99995	0.999995	850	0	-1.219
KLK14	6	4.1453e-05	0.00018211	0.003032	51	6	-1.4106	0.99996	0.99995	0.999995	849	0	-1.4106
DSG1	6	4.1917e-05	0.00018211	0.003032	52	6	-1.212	0.99996	0.99995	0.999995	848	0	-1.212
SPRR3A	6	4.2384e-05	0.00018211	0.003032	53	6	-1.2491	0.99996	0.99995	0.999995	847	0	-1.2491
GRHL3	6	4.3332e-05	0.00018211	0.003032	54	6	-1.4192	0.99996	0.99995	0.999995	846	0	-1.4192
DSC2	6	4.3813e-05	0.00019195	0.003138	55	6	-1.3559	0.99996	0.99995	0.999995	845	0	-1.3559
SPRR1A	6	4.578e-05	0.0002018	0.00324	56	6	-1.244	0.99995	0.99995	0.999995	844	0	-1.244
TGM1	6	4.679e-05	0.00021164	0.003338	57	6	-1.2866	0.99995	0.99995	0.999995	843	0	-1.2866
PGK1	6	4.9935e-05	0.00023133	0.003586	58	6	-1.3015	0.99995	0.99995	0.999995	842	0	-1.3015
