Gene	Num_sgRNAs	RRA_Score_Neg	PValue_Neg	FDR_Neg	Rank_Neg	neg|goodsgrna	LFC_Neg	RRA_Score_Pos	PValue_Pos	FDR_Pos	Rank_Pos	pos|goodsgrna	LFC_Pos	FDR	Direction	logFC	RRA_Score	Significance
ICAM1	6	2.7681e-08	4.9164e-06	0.000737	1	6	-1.7722	1.0	1.0	0.999995	900	0	-1.7722	0.000737	depleted	-1.7722	2.7681e-08	significant
UBA1	6	1.194e-07	4.9164e-06	0.000737	2	6	-1.6217	1.0	1.0	0.999995	899	0	-1.6217	0.000737	depleted	-1.6217	1.194e-07	significant
IL1B	6	2.9417e-07	4.9164e-06	0.000737	3	6	-1.8612	1.0	1.0	0.999995	898	0	-1.8612	0.000737	depleted	-1.8612	2.9417e-07	significant
SRC	6	5.8884e-07	4.9164e-06	0.000737	4	6	-1.8499	1.0	1.0	0.999995	897	0	-1.8499	0.000737	depleted	-1.8499	5.8884e-07	significant
CCL5	6	6.3304e-07	4.9164e-06	0.000737	5	6	-1.8286	0.99997	0.99999	0.999995	860	0	-1.8286	0.000737	depleted	-1.8286	6.3304e-07	significant
MYLK	6	1.3401e-06	4.9164e-06	0.000737	6	6	-1.439	1.0	1.0	0.999995	896	0	-1.439	0.000737	depleted	-1.439	1.3401e-06	significant
PXN	6	1.3667e-06	1.4749e-05	0.000948	7	6	-1.7123	1.0	1.0	0.999995	895	0	-1.7123	0.000948	depleted	-1.7123	1.3667e-06	significant
FAK	6	1.8565e-06	1.4749e-05	0.000948	8	6	-1.4866	1.0	1.0	0.999995	894	0	-1.4866	0.000948	depleted	-1.4866	1.8565e-06	significant
CCL7	6	1.9629e-06	1.4749e-05	0.000948	9	6	-1.8358	1.0	1.0	0.999995	893	0	-1.8358	0.000948	depleted	-1.8358	1.9629e-06	significant
TNF	6	2.7617e-06	1.4749e-05	0.000948	10	6	-1.5541	1.0	1.0	0.999995	892	0	-1.5541	0.000948	depleted	-1.5541	2.7617e-06	significant
TNC	6	2.8596e-06	1.4749e-05	0.000948	11	6	-1.3094	1.0	1.0	0.999995	891	0	-1.3094	0.000948	depleted	-1.3094	2.8596e-06	significant
CCL2	6	3.3366e-06	1.4749e-05	0.000948	12	6	-1.6218	1.0	1.0	0.999995	890	0	-1.6218	0.000948	depleted	-1.6218	3.3366e-06	significant
CXCL2	6	4.2465e-06	1.4749e-05	0.000948	13	6	-1.6896	0.99999	1.0	0.999995	885	0	-1.6896	0.000948	depleted	-1.6896	4.2465e-06	significant
SELE	6	4.6379e-06	1.4749e-05	0.000948	14	6	-1.6144	1.0	1.0	0.999995	889	0	-1.6144	0.000948	depleted	-1.6144	4.6379e-06	significant
CALM1	6	5.102e-06	2.4582e-05	0.001229	15	6	-1.7049	0.99999	1.0	0.999995	888	0	-1.7049	0.001229	depleted	-1.7049	5.102e-06	significant
FLNB	6	5.265e-06	2.4582e-05	0.001229	16	6	-1.6887	0.99999	1.0	0.999995	887	0	-1.6887	0.001229	depleted	-1.6887	5.265e-06	significant
CCL20	6	5.7804e-06	2.4582e-05	0.001229	17	6	-1.6199	0.99999	1.0	0.999995	886	0	-1.6199	0.001229	depleted	-1.6199	5.7804e-06	significant
IL8	6	5.9222e-06	2.4582e-05	0.001229	18	6	-1.8621	0.99999	1.0	0.999995	875	0	-1.8621	0.001229	depleted	-1.8621	5.9222e-06	significant
FGF1	6	8.5263e-06	3.4415e-05	0.001475	19	6	-1.1925	0.99999	1.0	0.999995	884	0	-1.1925	0.001475	depleted	-1.1925	8.5263e-06	significant
CXCL1	6	8.7761e-06	3.4415e-05	0.001475	20	6	-1.6862	0.99999	1.0	0.999995	883	0	-1.6862	0.001475	depleted	-1.6862	8.7761e-06	significant
VCL	6	9.032e-06	3.4415e-05	0.001475	21	6	-1.4969	0.99999	1.0	0.999995	882	0	-1.4969	0.001475	depleted	-1.4969	9.032e-06	significant
RPS3	6	9.1623e-06	4.4248e-05	0.001475	22	6	-1.4894	0.99999	1.0	0.999995	881	0	-1.4894	0.001475	depleted	-1.4894	9.1623e-06	significant
CXCL8	6	1.0119e-05	4.4248e-05	0.001475	23	6	-1.7087	0.99999	1.0	0.999995	880	0	-1.7087	0.001475	depleted	-1.7087	1.0119e-05	significant
FLNA	6	1.0262e-05	4.4248e-05	0.001475	24	6	-1.512	0.99999	1.0	0.999995	879	0	-1.512	0.001475	depleted	-1.512	1.0262e-05	significant
COL10A1	6	1.0553e-05	4.4248e-05	0.001475	25	6	-1.3132	0.99999	1.0	0.999995	878	0	-1.3132	0.001475	depleted	-1.3132	1.0553e-05	significant
COL4A2	6	1.1469e-05	4.4248e-05	0.001475	26	6	-1.3652	0.99999	1.0	0.999995	877	0	-1.3652	0.001475	depleted	-1.3652	1.1469e-05	significant
PRELP	6	1.1952e-05	4.4248e-05	0.001475	27	6	-1.3045	0.99999	1.0	0.999995	876	0	-1.3045	0.001475	depleted	-1.3045	1.1952e-05	significant
TLN1	6	1.6454e-05	6.3913e-05	0.001984	28	6	-1.4886	0.99998	1.0	0.999995	874	0	-1.4886	0.001984	depleted	-1.4886	1.6454e-05	significant
LDHA	6	1.7327e-05	6.3913e-05	0.001984	29	6	-1.1868	0.99998	1.0	0.999995	873	0	-1.1868	0.001984	depleted	-1.1868	1.7327e-05	significant
CXCL12	6	2.0691e-05	8.3579e-05	0.002423	30	6	-1.5351	0.99998	1.0	0.999995	872	0	-1.5351	0.002423	depleted	-1.5351	2.0691e-05	significant
ITGB3	6	2.2566e-05	9.3412e-05	0.002423	31	6	-1.4885	0.99998	1.0	0.999995	871	0	-1.4885	0.002423	depleted	-1.4885	2.2566e-05	significant
CALM2	6	2.2845e-05	9.3412e-05	0.002423	32	6	-1.2919	0.99998	1.0	0.999995	870	0	-1.2919	0.002423	depleted	-1.2919	2.2845e-05	significant
PSMA2	6	2.3127e-05	9.3412e-05	0.002423	33	6	-1.0545	0.99998	1.0	0.999995	869	0	-1.0545	0.002423	depleted	-1.0545	2.3127e-05	significant
CCL3	6	2.549e-05	0.00010324	0.002423	34	6	-1.4526	0.99997	0.99999	0.999995	868	0	-1.4526	0.002423	depleted	-1.4526	2.549e-05	significant
COMP	6	2.5799e-05	0.00010324	0.002423	35	6	-1.0935	0.99997	0.99999	0.999995	867	0	-1.0935	0.002423	depleted	-1.0935	2.5799e-05	significant
COL9A1	6	2.805e-05	0.00010324	0.002423	36	6	-1.0374	0.99997	0.99999	0.999995	866	0	-1.0374	0.002423	depleted	-1.0374	2.805e-05	significant
ACTB	6	2.8723e-05	0.00010324	0.002423	37	6	-1.221	0.99997	0.99999	0.999995	865	0	-1.221	0.002423	depleted	-1.221	2.8723e-05	significant
PSMC1	6	3.0822e-05	0.00011308	0.002423	38	6	-1.246	0.99997	0.99999	0.999995	864	0	-1.246	0.002423	depleted	-1.246	3.0822e-05	significant
RPL4	6	3.1549e-05	0.00011308	0.002423	39	6	-1.3158	0.99997	0.99999	0.999995	863	0	-1.3158	0.002423	depleted	-1.3158	3.1549e-05	significant
ENO1	6	3.1918e-05	0.00011308	0.002423	40	6	-0.97864	0.99997	0.99999	0.999995	862	0	-0.97864	0.002423	depleted	-0.97864	3.1918e-05	significant
ITGB1	6	3.3046e-05	0.00011308	0.002423	41	6	-1.5233	0.99997	0.99999	0.999995	861	0	-1.5233	0.002423	depleted	-1.5233	3.3046e-05	significant
PSMB1	6	3.4603e-05	0.00011308	0.002423	42	6	-1.1061	0.99997	0.99999	0.999995	859	0	-1.1061	0.002423	depleted	-1.1061	3.4603e-05	significant
HSPA8	6	3.581e-05	0.00012291	0.002514	43	6	-1.4126	0.99996	0.99999	0.999995	858	0	-1.4126	0.002514	depleted	-1.4126	3.581e-05	significant
RPL3	6	3.7899e-05	0.00012291	0.002514	44	6	-1.1193	0.99996	0.99998	0.999995	857	0	-1.1193	0.002514	depleted	-1.1193	3.7899e-05	significant
IL1A	6	3.9643e-05	0.00014258	0.002852	45	6	-1.4895	0.99996	0.99998	0.999995	856	0	-1.4895	0.002852	depleted	-1.4895	3.9643e-05	significant
THBS1	6	4.054e-05	0.00015241	0.002858	46	6	-1.0761	0.99996	0.99998	0.999995	855	0	-1.0761	0.002858	depleted	-1.0761	4.054e-05	significant
UBC	6	4.1453e-05	0.00015241	0.002858	47	6	-1.1471	0.99996	0.99998	0.999995	854	0	-1.1471	0.002858	depleted	-1.1471	4.1453e-05	significant
TUBA1A	6	4.2384e-05	0.00015241	0.002858	48	6	-1.5212	0.99996	0.99998	0.999995	853	0	-1.5212	0.002858	depleted	-1.5212	4.2384e-05	significant
TUBB	6	4.2856e-05	0.00016224	0.00292	49	6	-1.3198	0.99996	0.99998	0.999995	852	0	-1.3198	0.00292	depleted	-1.3198	4.2856e-05	significant
BGN	6	4.5281e-05	0.00016224	0.00292	50	6	-1.0616	0.99995	0.99998	0.999995	851	0	-1.0616	0.00292	depleted	-1.0616	4.5281e-05	significant
SELP	6	4.9399e-05	0.00019174	0.003319	51	6	-1.6024	0.99995	0.99997	0.999995	850	0	-1.6024	0.003319	depleted	-1.6024	4.9399e-05	significant
PSMD1	6	4.9935e-05	0.00019174	0.003319	52	6	-0.98637	0.99995	0.99996	0.999995	849	0	-0.98637	0.003319	depleted	-0.98637	4.9935e-05	significant
COL4A1	6	5.2688e-05	0.00020157	0.00336	53	6	-1.0109	0.99995	0.99996	0.999995	848	0	-1.0109	0.00336	depleted	-1.0109	5.2688e-05	significant
FMOD	6	5.3824e-05	0.00020157	0.00336	54	6	-1.1143	0.99995	0.99996	0.999995	847	0	-1.1143	0.00336	depleted	-1.1143	5.3824e-05	significant
ACAN	6	5.6157e-05	0.00021141	0.003459	55	6	-1.1354	0.99994	0.99995	0.999995	846	0	-1.1354	0.003459	depleted	-1.1354	5.6157e-05	significant
VCAM1	6	6.5e-05	0.00023107	0.003714	56	6	-1.2776	0.99994	0.99995	0.999995	845	0	-1.2776	0.003714	depleted	-1.2776	6.5e-05	significant
